Airline,Departure,Arrival,price,Duration,Stops,Departure Time,Arrival Time,Day of the Week,Day of the Month
Eurowings,Berlin (BER),Rome (FCO),110,335,1,13:10,18:45,Tuesday,1/08/2023
Eurowings,Berlin (BER),Rome (FCO),110,515,1,10:10,18:45,Tuesday,1/08/2023
Eurowings,Berlin (BER),Rome (FCO),110,535,1,09:50,18:45,Tuesday,1/08/2023
Norwegian Air International Ltd,Berlin (BER),Rome (FCO),119,735,1,21:55,10:10,Tuesday,1/08/2023
Air France,Berlin (BER),Rome (FCO),136,305,1,18:00,23:05,Tuesday,1/08/2023
KLM,Berlin (BER),Rome (FCO),147,350,1,06:00,11:50,Tuesday,1/08/2023
KLM,Berlin (BER),Rome (FCO),152,255,1,14:30,18:45,Tuesday,1/08/2023
KLM,Berlin (BER),Rome (FCO),152,260,1,12:15,16:35,Tuesday,1/08/2023
KLM,Berlin (BER),Rome (FCO),152,315,1,17:30,22:45,Tuesday,1/08/2023
KLM,Berlin (BER),Rome (FCO),152,390,1,12:15,18:45,Tuesday,1/08/2023
KLM,Berlin (BER),Rome (FCO),152,450,1,09:05,16:35,Tuesday,1/08/2023
KLM,Berlin (BER),Rome (FCO),152,495,1,14:30,22:45,Tuesday,1/08/2023
KLM,Berlin (BER),Rome (FCO),152,580,1,09:05,18:45,Tuesday,1/08/2023
KLM,Berlin (BER),Rome (FCO),152,630,1,12:15,22:45,Tuesday,1/08/2023
Brussels Airlines,Berlin (BER),Rome (FCO),158,320,1,11:40,17:00,Tuesday,1/08/2023
Brussels Airlines,Berlin (BER),Rome (FCO),158,505,1,11:40,20:05,Tuesday,1/08/2023
Brussels Airlines,Berlin (BER),Rome (FCO),158,605,1,06:55,17:00,Tuesday,1/08/2023
Luxair,Berlin (BER),Rome (FCO),158,665,1,08:45,19:50,Tuesday,1/08/2023
Lufthansa,Berlin (BER),Rome (FCO),159,230,1,19:45,23:35,Tuesday,1/08/2023
Lufthansa,Berlin (BER),Rome (FCO),159,240,1,13:45,17:45,Tuesday,1/08/2023
Lufthansa,Berlin (BER),Rome (FCO),159,290,1,18:45,23:35,Tuesday,1/08/2023
Lufthansa,Berlin (BER),Rome (FCO),159,360,1,11:45,17:45,Tuesday,1/08/2023
Lufthansa,Berlin (BER),Rome (FCO),159,410,1,16:45,23:35,Tuesday,1/08/2023
Lufthansa,Berlin (BER),Rome (FCO),159,420,1,10:45,17:45,Tuesday,1/08/2023
