Airline,Departure,Arrival,price,Duration,Stops,Departure Time,Arrival Time,Day of the Week,Day of the Month
Qatar Airways,Berlin (BER),Tokyo (NRT),702,1530,1,10:05,18:35,Tuesday,01/08/2023
Multiple airlines,Berlin (BER),Tokyo (NRT),705,1255,2,09:45,13:40,Tuesday,01/08/2023
Multiple airlines,Berlin (BER),Tokyo (NRT),705,1315,2,08:45,13:40,Tuesday,01/08/2023
Multiple airlines,Berlin (BER),Tokyo (NRT),705,1345,2,08:15,13:40,Tuesday,01/08/2023
Multiple airlines,Berlin (BER),Tokyo (NRT),705,1375,2,07:45,13:40,Tuesday,01/08/2023
Multiple airlines,Berlin (BER),Tokyo (NRT),705,1400,2,09:45,16:05,Tuesday,01/08/2023
Multiple airlines,Berlin (BER),Tokyo (NRT),705,1435,2,06:45,13:40,Tuesday,01/08/2023
Multiple airlines,Berlin (BER),Tokyo (NRT),763,1195,2,10:45,13:40,Tuesday,01/08/2023
Multiple airlines,Berlin (BER),Tokyo (NRT),763,1340,2,10:45,16:05,Tuesday,01/08/2023
Qatar Airways,Berlin (BER),Tokyo (NRT),770,1135,1,16:40,18:35,Tuesday,01/08/2023
Etihad Airways,Berlin (BER),Tokyo (NRT),800,1390,2,06:55,13:05,Tuesday,01/08/2023
Multiple airlines,Berlin (BER),Tokyo (HND),855,1185,2,19:50,22:35,Tuesday,01/08/2023
Multiple airlines,Berlin (BER),Tokyo (HND),855,1305,2,17:50,22:35,Tuesday,01/08/2023
Multiple airlines,Berlin (BER),Tokyo (HND),855,1190,2,19:45,22:35,Tuesday,01/08/2023
Multiple airlines,Berlin (BER),Tokyo (HND),855,1250,2,18:45,22:35,Tuesday,01/08/2023
Multiple airlines,Berlin (BER),Tokyo (NRT),884,1290,2,08:45,13:15,Tuesday,01/08/2023
Multiple airlines,Berlin (BER),Tokyo (NRT),884,1320,2,08:15,13:15,Tuesday,01/08/2023
Multiple airlines,Berlin (BER),Tokyo (HND),929,1210,2,10:45,13:55,Tuesday,01/08/2023
Multiple airlines,Berlin (BER),Tokyo (HND),929,1270,2,09:45,13:55,Tuesday,01/08/2023
Multiple airlines,Berlin (BER),Tokyo (HND),929,1330,2,08:45,13:55,Tuesday,01/08/2023
Multiple airlines,Berlin (BER),Tokyo (HND),929,1360,2,08:15,13:55,Tuesday,01/08/2023
Multiple airlines,Berlin (BER),Tokyo (HND),929,1390,2,07:45,13:55,Tuesday,01/08/2023
Multiple airlines,Berlin (BER),Tokyo (NRT),947,1280,2,08:45,13:05,Tuesday,01/08/2023
Multiple airlines,Berlin (BER),Tokyo (NRT),947,1310,2,08:15,13:05,Tuesday,01/08/2023
Multiple airlines,Berlin (BER),Tokyo (NRT),947,1340,2,07:45,13:05,Tuesday,01/08/2023
Multiple airlines,Berlin (BER),Tokyo (NRT),998,1175,2,14:45,17:20,Tuesday,01/08/2023
Multiple airlines,Berlin (BER),Tokyo (NRT),998,1235,2,13:45,17:20,Tuesday,01/08/2023
Multiple airlines,Berlin (BER),Tokyo (NRT),1060,1215,2,09:50,13:05,Tuesday,01/08/2023
Multiple airlines,Berlin (BER),Tokyo (NRT),1060,1275,2,08:50,13:05,Tuesday,01/08/2023
Multiple airlines,Berlin (BER),Tokyo (NRT),1060,1365,2,07:20,13:05,Tuesday,01/08/2023
Turkish Airlines,Berlin (BER),Tokyo (NRT),1125,945,1,10:40,09:25,Tuesday,01/08/2023
Turkish Airlines,Berlin (BER),Tokyo (HND),1125,1010,1,19:35,19:25,Tuesday,01/08/2023
Turkish Airlines,Berlin (BER),Tokyo (NRT),1125,1165,1,07:00,09:25,Tuesday,01/08/2023
Turkish Airlines,Berlin (BER),Tokyo (HND),1125,1290,1,14:55,19:25,Tuesday,01/08/2023
Turkish Airlines,Berlin (BER),Tokyo (HND),1125,1545,1,10:40,19:25,Tuesday,01/08/2023
Multiple airlines,Berlin (BER),Tokyo (NRT),1131,1400,2,06:15,12:35,Tuesday,01/08/2023
Multiple airlines,Berlin (BER),Tokyo (HND),1153,1280,2,10:45,15:05,Tuesday,01/08/2023
Scandinavian Airlines,Berlin (BER),Tokyo (HND),1211,1660,1,21:15,07:55,Tuesday,01/08/2023
Air France,Berlin (BER),Tokyo (HND),1253,1585,1,20:30,05:55,Tuesday,01/08/2023
KLM,Berlin (BER),Tokyo (NRT),1256,1735,1,20:40,08:35,Tuesday,01/08/2023
KLM,Berlin (BER),Tokyo (HND),1283,1575,2,20:40,05:55,Tuesday,01/08/2023
Japan Airlines,Berlin (BER),Tokyo (NRT),1289,1010,1,13:15,13:05,Tuesday,01/08/2023
Japan Airlines,Berlin (BER),Tokyo (HND),1289,1055,1,13:15,13:50,Tuesday,01/08/2023
KLM,Berlin (BER),Tokyo (NRT),1298,1130,2,14:30,16:20,Tuesday,01/08/2023
KLM,Berlin (BER),Tokyo (NRT),1298,1265,2,12:15,16:20,Tuesday,01/08/2023
All Nippon Airways,Berlin (BER),Tokyo (NRT),1307,1010,1,09:00,08:50,Tuesday,01/08/2023
Multiple airlines,Berlin (BER),Tokyo (HND),1307,860,1,10:50,08:10,Tuesday,01/08/2023
Multiple airlines,Berlin (BER),Tokyo (HND),1307,920,1,09:50,08:10,Tuesday,01/08/2023
Multiple airlines,Berlin (BER),Tokyo (HND),1307,980,1,08:50,08:10,Tuesday,01/08/2023
Multiple airlines,Berlin (BER),Tokyo (HND),1313,900,1,11:45,09:45,Tuesday,01/08/2023
Multiple airlines,Berlin (BER),Tokyo (HND),1313,960,1,10:45,09:45,Tuesday,01/08/2023
Multiple airlines,Berlin (BER),Tokyo (HND),1313,1020,1,09:45,09:45,Tuesday,01/08/2023
All Nippon Airways,Berlin (BER),Tokyo (HND),1313,1020,1,09:45,09:45,Tuesday,01/08/2023
Multiple airlines,Berlin (BER),Tokyo (HND),1333,1060,1,14:35,15:15,Tuesday,01/08/2023
Multiple airlines,Berlin (BER),Tokyo (HND),1333,1190,1,12:25,15:15,Tuesday,01/08/2023
Japan Airlines,Berlin (BER),Tokyo (HND),1512,760,1,13:15,08:55,Tuesday,01/08/2023
Finnair,Berlin (BER),Tokyo (HND),1519,760,1,13:15,08:55,Tuesday,01/08/2023
Finnair,Berlin (BER),Tokyo (NRT),1519,1010,1,13:15,13:05,Tuesday,01/08/2023
Finnair,Berlin (BER),Tokyo (HND),1519,1020,1,08:55,08:55,Tuesday,01/08/2023
Finnair,Berlin (BER),Tokyo (HND),1519,1055,1,13:15,13:50,Tuesday,01/08/2023
Finnair,Berlin (BER),Tokyo (NRT),1519,1270,1,08:55,13:05,Tuesday,01/08/2023
Finnair,Berlin (BER),Tokyo (HND),1519,1315,1,08:55,13:50,Tuesday,01/08/2023
Multiple airlines,Berlin (BER),Tokyo (HND),1524,760,1,13:15,08:55,Tuesday,01/08/2023
Multiple airlines,Berlin (BER),Tokyo (NRT),1590,1010,1,13:15,13:05,Tuesday,01/08/2023
Multiple airlines,Berlin (BER),Tokyo (HND),1605,760,1,13:15,08:55,Tuesday,01/08/2023
Multiple airlines,Berlin (BER),Tokyo (HND),1605,1020,1,08:55,08:55,Tuesday,01/08/2023
British Airways,Berlin (BER),Tokyo (HND),1622,1025,1,07:05,07:10,Tuesday,01/08/2023
Air France,Berlin (BER),Tokyo (HND),1633,1050,1,18:00,18:30,Tuesday,01/08/2023
Multiple airlines,Berlin (BER),Tokyo (HND),1784,1095,1,06:40,07:55,Tuesday,01/08/2023
Multiple airlines,Berlin (BER),Tokyo (NRT),2028,1235,2,08:50,12:25,Tuesday,01/08/2023
Multiple airlines,Berlin (BER),Tokyo (NRT),2028,1285,2,08:50,13:15,Tuesday,01/08/2023
Multiple airlines,Berlin (BER),Tokyo (NRT),2028,1325,2,07:20,12:25,Tuesday,01/08/2023
Air France,Berlin (BER),Tokyo (NRT),2235,1150,1,06:15,08:25,Tuesday,01/08/2023
Swiss International Air Lines,Berlin (BER),Tokyo (NRT),2550,1755,1,20:30,08:45,Tuesday,01/08/2023
Austrian Airlines,Berlin (BER),Tokyo (NRT),2551,875,1,11:15,08:50,Tuesday,01/08/2023
Lufthansa,Berlin (BER),Tokyo (HND),2551,860,1,10:50,08:10,Tuesday,01/08/2023
All Nippon Airways,Berlin (BER),Tokyo (HND),2559,840,1,09:45,06:45,Tuesday,01/08/2023
All Nippon Airways,Berlin (BER),Tokyo (HND),2559,860,1,17:45,15:05,Tuesday,01/08/2023
All Nippon Airways,Berlin (BER),Tokyo (HND),2559,1340,1,09:45,15:05,Tuesday,01/08/2023
Scoot,Berlin (BER),Tokyo (NRT),526,1345,1,09:35,15:00,Wednesday,02/08/2023
Scoot,Berlin (BER),Tokyo (NRT),627,1610,2,09:35,19:25,Wednesday,02/08/2023
Scoot,Berlin (BER),Tokyo (NRT),669,2565,2,09:35,11:20,Wednesday,02/08/2023
Multiple airlines,Berlin (BER),Tokyo (NRT),688,1185,2,10:55,13:40,Wednesday,02/08/2023
Multiple airlines,Berlin (BER),Tokyo (NRT),688,1265,2,09:35,13:40,Wednesday,02/08/2023
Multiple airlines,Berlin (BER),Tokyo (NRT),688,1330,2,10:55,16:05,Wednesday,02/08/2023
Multiple airlines,Berlin (BER),Tokyo (NRT),688,1410,2,09:35,16:05,Wednesday,02/08/2023
Multiple airlines,Berlin (BER),Tokyo (NRT),688,1420,2,07:00,13:40,Wednesday,02/08/2023
Multiple airlines,Berlin (BER),Tokyo (NRT),688,1565,2,07:00,16:05,Wednesday,02/08/2023
LOT-Polish Airlines,Berlin (BER),Tokyo (NRT),697,980,1,19:10,18:30,Wednesday,02/08/2023
Multiple airlines,Berlin (BER),Tokyo (HND),746,1200,2,10:55,13:55,Wednesday,02/08/2023
Multiple airlines,Berlin (BER),Tokyo (HND),746,1280,2,09:35,13:55,Wednesday,02/08/2023
Multiple airlines,Berlin (BER),Tokyo (HND),746,1435,2,07:00,13:55,Wednesday,02/08/2023
Qatar Airways,Berlin (BER),Tokyo (NRT),837,1135,1,16:40,18:35,Wednesday,02/08/2023
Multiple airlines,Berlin (BER),Tokyo (NRT),838,1290,2,08:45,13:15,Wednesday,02/08/2023
Multiple airlines,Berlin (BER),Tokyo (NRT),838,1320,2,08:15,13:15,Wednesday,02/08/2023
Multiple airlines,Berlin (BER),Tokyo (NRT),838,1350,2,07:45,13:15,Wednesday,02/08/2023
Multiple airlines,Berlin (BER),Tokyo (NRT),838,1410,2,06:45,13:15,Wednesday,02/08/2023
